Timestamp,Notes,Year,Age,Mileage,Full_AmpH_Capacity,SOH,SOH-R,SOH-C,0.0_19.9,20.0_to_29.9,30.0_to_39.9,40.0_49.9,50.0_59.9,60.0_69.9,70.0_79.9,80.0_100.0,<-220,-220_-210,-210_-120,-210_-20,-20_-5,-5_-0.5,-0.5_3,3_50,50_80,80_160,160_180,> 180,T < -30C,-30< T <-20,-20< T <-10,-10< T <0,0< T <10,10< T <20,20< T < 30,30< T <40,40< T <50,50< T <60,60< T
11/15/2019 6:22:55,No,2016,3,15000,60.7,100,99.61,93.33,960,2210,3895,5755,10855,19650,42955,150480,30,10,415,10495,5290,10840,191540,17975,280,70,0,0,0,0,0,85,2740,125350,102340,6435,0,0,0
11/16/2019 16:01:23,Why soh-r so low??,2016,3,20191,64.8,87.84,89.02,99.61,4075,12770,22085,35035,42015,51435,59815,144345,5,0,400,16430,6135,18615,311435,17605,730,215,5,0,0,0,0,0,1210,127690,214810,27885,0,0,0
11/22/2019 11:49:05,PLP,2014,5,44080,51.3,100,99.61,78.82,2430,7180,14095,25655,37185,54770,76820,230030,190,55,1445,33795,17380,25475,181995,186075,1270,475,10,0,0,0,30,2640,44490,177705,178105,45205,0,0,0
12/8/2019 6:38:30,,2014,5,16497,44.9,100,99.61,69.02,900,670,2855,5410,8390,13885,20205,65145,,,,,,,,,,,,,,,,,,,,,,,
12/16/2019 10:54:20,,2013,6,25899,56.8,100,100,87.06,175,775,1485,4350,13600,27070,54105,179310,9720,4270,6570,81750,17085,39325,36995,78005,1425,915,1270,840,0,0,0,660,35775,139095,99270,3380,0,0,0
12/22/2019 12:48:32,,2013,6,28090,49,100,99.61,75.29,4245,10270,20895,36275,49235,66165,76565,184290,7430,915,4630,96080,17505,48870,246725,18540,2170,1560,2010,1505,0,0,980,39630,68025,116285,217715,5315,0,0,0
1/6/2020 16:49:19,,2016,4,34500,56.3,100,100,86.67,2045,7770,17005,27905,34105,36950,47020,80805,5,0,615,29720,13845,44035,55355,109495,1735,590,5,0,0,0,0,0,15,48905,194875,11620,0,0,0
1/16/2020 10:05:15,sams used 2017,2017,3,13552,57.7,100,100,88.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2020 11:09:52,sams 2017 post U69,2017,3,13827,64.9,99.61,99.61,99.61,395,2435,4950,8880,16625,25180,46885,159345,,,,,,,,,,,,,,,,,,,,,,,
2/4/2020 12:59:57,After half year... SOH-C decreasing,2015,5,24820,53.7,100,94.12,82.35,1050,2820,6245,10675,12475,12320,10590,6980,10,0,40,5840,4890,3895,6150,42145,155,25,0,0,0,0,0,0,1450,36100,25540,70,0,0,0
2/22/2020 19:00:50,,2017,3,21235,63.5,100,99.62,99.21,1930,5085,9060,14545,20195,23175,31645,67385,,,,,,,,,,,,,,,,,,,,,,,
2/29/2020 11:56:18,,2015,5,30000,10,100,99.1,76.1,13,15,13,13,13,15,13,20,,,,,,,,,,,,,,,,,,,,,,,
3/5/2020 10:00:55,,2013,7,58283,48.2,57.25,80.39,74.12,21370,27190,50150,71440,82055,95590,104285,183295,3560,1655,3325,110725,19425,49980,326540,123055,2120,1525,2260,1195,0,0,0,0,5620,164745,327675,132660,0,0,0
4/14/2020 5:24:19,,2014,6,42416,49.8,59.22,86.27,76.47,565,2485,6710,14460,24870,50475,74405,189950,95,20,550,33275,19355,41565,164610,103245,1115,290,0,0,0,0,0,0,1215,75400,146120,141400,0,0,0
4/24/2020 13:30:45,,2017,3,17233,60.5,100,99.61,92.94,1380,7460,18225,37770,54880,64455,74330,152605,15,10,830,13630,10055,21905,310165,53255,915,325,5,0,0,0,25,,1460,117770,274230,17630,0,0,0
4/25/2020 13:33:00,,2013,7,75000,41.3,14.51,64.71,63.53,1545,4285,12675,29810,37120,49015,64490,189980,2700,1000,4360,59730,23980,46505,47035,199805,1625,750,660,755,0,0,0,0,15,35220,214860,138775,50,0,0
4/26/2020 13:52:06,,2015,5,42328,53.7,100,99.61,82.35,890,3955,13965,27980,45070,66495,106520,309470,5,0,470,37975,18850,44290,327675,125315,2160,450,0,0,0,0,0,0,1115,199040,253600,120595,0,0,0
5/2/2020 22:00:52,2nd Owner. San Diego-based.,2016,4,16666,58.1,100,99.61,89.02,2680,6865,12350,23780,31015,38775,55255,126415,130,55,725,12415,8095,26220,223835,24780,655,220,5,0,0,0,0,0,15,70100,203390,23640,0,0,0
